Date,Position,Teams,Players
"CS:GO World ranking on December 31st, 2018",#2,Natus Vincere(438 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on December 31st, 2018",#3,Liquid(400 points),nitr0 NAF EliGE Stewie2K Twistzz
"CS:GO World ranking on December 31st, 2018",#4,MIBR(297 points),FalleN tarik fer coldzera TACO
"CS:GO World ranking on December 31st, 2018",#5,MOUZ(288 points),oskar chrisJ suNny STYKO ropz
"CS:GO World ranking on December 31st, 2018",#6,FaZe(243 points),olofmeister GuardiaN NiKo rain
"CS:GO World ranking on December 31st, 2018",#7,NIP(241 points),f0rest GeT_RiGhT dennis Lekr0 REZ
"CS:GO World ranking on December 31st, 2018",#8,NRG(226 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on December 31st, 2018",#9,fnatic(201 points),Xizt JW twist KRIMZ Brollan
"CS:GO World ranking on December 31st, 2018",#10,North(141 points),cadiaN aizy Kjaerbye gade valde
"CS:GO World ranking on December 31st, 2018",#11,BIG(136 points),gob b tabseN tiziaN XANTARES smooya
"CS:GO World ranking on December 31st, 2018",#12,ENCE(119 points),allu Aerial xseveN Aleksib sergej
"CS:GO World ranking on December 31st, 2018",#13,Renegades(113 points),jks AZR jkaem Gratisfaction Liazz
"CS:GO World ranking on December 31st, 2018",#14,Cloud9(102 points),flusha kioShiMa RUSH autimatic Zellsis
"CS:GO World ranking on December 31st, 2018",#15,HellRaisers(99 points),ANGE1 Hobbit woxic DeadFox ISSAA
"CS:GO World ranking on December 31st, 2018",#16,Heroic(85 points),MODDII friberg AcilioN es3tag mertz
"CS:GO World ranking on December 31st, 2018",#17,LDLC(82 points),to1nou AmaNEk devoduvek LOGAN
"CS:GO World ranking on December 31st, 2018",#18,G2(82 points),JaCkz shox kennyS bodyy Lucky
"CS:GO World ranking on December 31st, 2018",#19,OpTic(75 points),Snappi cajunb JUGi k0nfig refrezh
"CS:GO World ranking on December 31st, 2018",#20,AVANGAR(74 points),fitch buster KrizzeN Qikert Jame
"CS:GO World ranking on December 31st, 2018",#21,Ghost(70 points),steel koosta Subroza WARDELL neptune
"CS:GO World ranking on December 31st, 2018",#22,Luminosity(67 points),steel HEN1 LUCAS1 boltz NEKIZ
"CS:GO World ranking on December 31st, 2018",#23,Vega Squadron(65 points),tonyblack chopper jR hutji crush
"CS:GO World ranking on December 31st, 2018",#24,Vitality(64 points),NBK- RpK apEX ALEX ZywOo
"CS:GO World ranking on December 31st, 2018",#25,Bravado(52 points),Detrony ELUSIVE Sonic Fadey JT
"CS:GO World ranking on December 31st, 2018",#26,TYLOO(51 points),Summer BnTeT Attacker somebody xccurate
"CS:GO World ranking on December 31st, 2018",#27,Sharks(51 points),nak exit leo_drk RCF jnt
"CS:GO World ranking on December 31st, 2018",#28,x6tence Galaxy(49 points),BARBARR Bååten ZINKEN nawwk Plopski
"CS:GO World ranking on December 31st, 2018",#29,forZe(44 points),facecrack almazer FL1T xsepower Jerry
"CS:GO World ranking on December 31st, 2018",#30,Complexity(43 points),n0thing ShahZaM dephh stanislaw Rickeh
"CS:GO World ranking on November 26th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on November 26th, 2018",#2,Natus Vincere(558 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on November 26th, 2018",#3,Liquid(455 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on November 26th, 2018",#4,FaZe(451 points),karrigan olofmeister GuardiaN NiKo rain
"CS:GO World ranking on November 26th, 2018",#5,MIBR(424 points),FalleN tarik fer Stewie2K coldzera
"CS:GO World ranking on November 26th, 2018",#6,NIP(352 points),f0rest GeT_RiGhT dennis Lekr0 REZ
"CS:GO World ranking on November 26th, 2018",#7,MOUZ(341 points),oskar chrisJ suNny STYKO ropz
"CS:GO World ranking on November 26th, 2018",#8,NRG(306 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on November 26th, 2018",#9,North(280 points),cadiaN aizy Kjaerbye gade valde
"CS:GO World ranking on November 26th, 2018",#10,BIG(221 points),gob b tabseN tiziaN nex smooya
"CS:GO World ranking on November 26th, 2018",#11,fnatic(183 points),Xizt JW twist KRIMZ Brollan
"CS:GO World ranking on November 26th, 2018",#12,LDLC(158 points),to1nou ALEX AmaNEk devoduvek LOGAN
"CS:GO World ranking on November 26th, 2018",#13,OpTic(156 points),Snappi cajunb JUGi k0nfig niko
"CS:GO World ranking on November 26th, 2018",#14,ENCE(149 points),allu Aerial xseveN Aleksib sergej
"CS:GO World ranking on November 26th, 2018",#15,HellRaisers(129 points),ANGE1 Hobbit woxic DeadFox ISSAA
"CS:GO World ranking on November 26th, 2018",#16,Complexity(123 points),ShahZaM dephh stanislaw yay ANDROID
"CS:GO World ranking on November 26th, 2018",#17,Heroic(117 points),MODDII friberg AcilioN es3tag mertz
"CS:GO World ranking on November 26th, 2018",#18,Renegades(109 points),jks AZR jkaem Gratisfaction Liazz
"CS:GO World ranking on November 26th, 2018",#19,AVANGAR(102 points),fitch buster KrizzeN Qikert Jame
"CS:GO World ranking on November 26th, 2018",#20,Vega Squadron(101 points),tonyblack chopper jR hutji crush
"CS:GO World ranking on November 26th, 2018",#21,Ghost(91 points),steel koosta Subroza WARDELL neptune
"CS:GO World ranking on November 26th, 2018",#22,TYLOO(88 points),captainMo DD BnTeT somebody xccurate
"CS:GO World ranking on November 26th, 2018",#23,Luminosity(86 points),steel HEN1 LUCAS1 NEKIZ yel
"CS:GO World ranking on November 26th, 2018",#24,Vitality(85 points),NBK- RpK apEX Happy ZywOo
"CS:GO World ranking on November 26th, 2018",#25,Cloud9(84 points),flusha kioShiMa RUSH autimatic Golden
"CS:GO World ranking on November 26th, 2018",#26,ex-Space Soldiers(75 points),MAJ3R XANTARES Calyx paz ngiN
"CS:GO World ranking on November 26th, 2018",#27,eUnited(68 points),FNS Relyks dazzLe dapr moose
"CS:GO World ranking on November 26th, 2018",#28,G2(67 points),JaCkz shox kennyS bodyy Lucky
"CS:GO World ranking on November 26th, 2018",#29,Kinguin(65 points),TaZ MINISE rallen reatz mouz
"CS:GO World ranking on November 26th, 2018",#30,Gambit(60 points),Dosia mou mir dimasick Ax1Le
"CS:GO World ranking on October 29th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on October 29th, 2018",#2,Natus Vincere(630 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on October 29th, 2018",#3,Liquid(559 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on October 29th, 2018",#4,FaZe(419 points),karrigan olofmeister GuardiaN NiKo rain
"CS:GO World ranking on October 29th, 2018",#5,MIBR(409 points),FalleN tarik fer Stewie2K coldzera
"CS:GO World ranking on October 29th, 2018",#6,MOUZ(374 points),oskar chrisJ suNny STYKO ropz
"CS:GO World ranking on October 29th, 2018",#7,NRG(240 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on October 29th, 2018",#8,NIP(234 points),f0rest GeT_RiGhT dennis Lekr0 REZ
"CS:GO World ranking on October 29th, 2018",#9,BIG(221 points),gob b tabseN tiziaN nex smooya
"CS:GO World ranking on October 29th, 2018",#10,North(214 points),cadiaN aizy Kjaerbye gade valde
"CS:GO World ranking on October 29th, 2018",#11,HellRaisers(180 points),ANGE1 bondik woxic DeadFox ISSAA
"CS:GO World ranking on October 29th, 2018",#12,ENCE(167 points),allu Aerial xseveN Aleksib sergej
"CS:GO World ranking on October 29th, 2018",#13,Complexity(145 points),ShahZaM dephh stanislaw yay ANDROID
"CS:GO World ranking on October 29th, 2018",#14,Vega Squadron(130 points),tonyblack chopper jR hutji crush
"CS:GO World ranking on October 29th, 2018",#15,AVANGAR(127 points),fitch buster KrizzeN Qikert Jame
"CS:GO World ranking on October 29th, 2018",#16,OpTic(122 points),Snappi cajunb JUGi k0nfig niko
"CS:GO World ranking on October 29th, 2018",#17,G2(118 points),shox Ex6TenZ kennyS SmithZz bodyy
"CS:GO World ranking on October 29th, 2018",#18,TYLOO(115 points),captainMo DD BnTeT somebody xccurate
"CS:GO World ranking on October 29th, 2018",#19,Kinguin(108 points),TaZ MINISE rallen reatz mouz
"CS:GO World ranking on October 29th, 2018",#20,Heroic(99 points),MODDII friberg AcilioN es3tag mertz
"CS:GO World ranking on October 29th, 2018",#21,Renegades(90 points),jks AZR jkaem Gratisfaction Liazz
"CS:GO World ranking on October 29th, 2018",#22,Gambit(88 points),Dosia mou mir
"CS:GO World ranking on October 29th, 2018",#23,ex-Space Soldiers(86 points),MAJ3R XANTARES Calyx paz ngiN
"CS:GO World ranking on October 29th, 2018",#24,fnatic(84 points),Xizt JW twist KRIMZ Brollan
"CS:GO World ranking on October 29th, 2018",#25,Ghost(74 points),steel koosta Subroza WARDELL neptune
"CS:GO World ranking on October 29th, 2018",#26,Fragsters(66 points),Bubzkji refrezh dragonfly torben stavn
"CS:GO World ranking on October 29th, 2018",#27,Virtus.pro(59 points),NEO pashaBiceps MICHU morelz snatchie
"CS:GO World ranking on October 29th, 2018",#28,LDLC(55 points),to1nou ALEX AmaNEk devoduvek LOGAN
"CS:GO World ranking on October 29th, 2018",#29,Cloud9(51 points),flusha RUSH autimatic Golden
"CS:GO World ranking on October 29th, 2018",#30,AGO(45 points),SZPERO Furlan GruBy phr kaper
"CS:GO World ranking on September 24th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on September 24th, 2018",#2,Natus Vincere(734 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on September 24th, 2018",#3,Liquid(504 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on September 24th, 2018",#4,MIBR(415 points),FalleN tarik fer Stewie2K coldzera
"CS:GO World ranking on September 24th, 2018",#5,FaZe(413 points),karrigan olofmeister GuardiaN NiKo rain
"CS:GO World ranking on September 24th, 2018",#6,North(387 points),MSL aizy Kjaerbye valde niko
"CS:GO World ranking on September 24th, 2018",#7,MOUZ(326 points),oskar Snax chrisJ suNny ropz
"CS:GO World ranking on September 24th, 2018",#8,BIG(318 points),gob b tabseN tiziaN nex smooya
"CS:GO World ranking on September 24th, 2018",#9,NIP(277 points),f0rest GeT_RiGhT dennis Lekr0 REZ
"CS:GO World ranking on September 24th, 2018",#10,HellRaisers(212 points),ANGE1 bondik woxic DeadFox ISSAA
"CS:GO World ranking on September 24th, 2018",#11,Complexity(182 points),ShahZaM dephh stanislaw yay ANDROID
"CS:GO World ranking on September 24th, 2018",#12,TYLOO(180 points),captainMo DD BnTeT somebody xccurate
"CS:GO World ranking on September 24th, 2018",#13,NRG(158 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on September 24th, 2018",#14,fnatic(130 points),Xizt JW KRIMZ draken
"CS:GO World ranking on September 24th, 2018",#15,G2(129 points),shox Ex6TenZ kennyS SmithZz bodyy
"CS:GO World ranking on September 24th, 2018",#16,Kinguin(123 points),TaZ MINISE rallen reatz mouz
"CS:GO World ranking on September 24th, 2018",#17,ENCE(121 points),allu Aerial xseveN Aleksib sergej
"CS:GO World ranking on September 24th, 2018",#18,Vega Squadron(114 points),tonyblack chopper jR hutji crush
"CS:GO World ranking on September 24th, 2018",#19,Heroic(108 points),MODDII friberg AcilioN es3tag mertz
"CS:GO World ranking on September 24th, 2018",#20,Gambit(92 points),AdreN Dosia mou Hobbit mir
"CS:GO World ranking on September 24th, 2018",#21,Cloud9(87 points),Skadoodle RUSH autimatic Golden
"CS:GO World ranking on September 24th, 2018",#22,Ghost(86 points),kRYSTAL steel koosta Subroza WARDELL
"CS:GO World ranking on September 24th, 2018",#23,Renegades(83 points),jks AZR jkaem USTILO Nifty
"CS:GO World ranking on September 24th, 2018",#24,OpTic(82 points),Snappi cajunb JUGi gade k0nfig
"CS:GO World ranking on September 24th, 2018",#25,Imperial(69 points),nexa hAdji pounh EspiranTo nukkye
"CS:GO World ranking on September 24th, 2018",#26,AGO(69 points),SZPERO Furlan GruBy TOAO phr
"CS:GO World ranking on September 24th, 2018",#27,MVP PK(67 points),solo glow zeff XigN xeta
"CS:GO World ranking on September 24th, 2018",#28,Virtus.pro(66 points),NEO pashaBiceps MICHU morelz snatchie
"CS:GO World ranking on September 24th, 2018",#29,AVANGAR(61 points),fitch buster KrizzeN Qikert Jame
"CS:GO World ranking on September 24th, 2018",#30,Fragsters(60 points),Bubzkji refrezh dragonfly torben stavn
"CS:GO World ranking on August 27th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on August 27th, 2018",#2,Natus Vincere(843 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on August 27th, 2018",#3,Liquid(498 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on August 27th, 2018",#4,FaZe(469 points),karrigan olofmeister GuardiaN NiKo rain
"CS:GO World ranking on August 27th, 2018",#5,MOUZ(384 points),oskar Snax chrisJ suNny ropz
"CS:GO World ranking on August 27th, 2018",#6,BIG(369 points),gob b tabseN tiziaN nex smooya
"CS:GO World ranking on August 27th, 2018",#7,MIBR(323 points),FalleN tarik fer Stewie2K coldzera
"CS:GO World ranking on August 27th, 2018",#8,fnatic(276 points),Xizt flusha JW KRIMZ draken
"CS:GO World ranking on August 27th, 2018",#9,NRG(272 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on August 27th, 2018",#10,North(199 points),MSL aizy Kjaerbye valde niko
"CS:GO World ranking on August 27th, 2018",#11,G2(178 points),shox Ex6TenZ kennyS SmithZz bodyy
"CS:GO World ranking on August 27th, 2018",#12,TYLOO(164 points),captainMo DD BnTeT somebody xccurate
"CS:GO World ranking on August 27th, 2018",#13,ENCE(158 points),allu Aerial xseveN Aleksib sergej
"CS:GO World ranking on August 27th, 2018",#14,NIP(149 points),f0rest GeT_RiGhT dennis Lekr0 REZ
"CS:GO World ranking on August 27th, 2018",#15,Renegades(135 points),jks AZR jkaem USTILO Nifty
"CS:GO World ranking on August 27th, 2018",#16,HellRaisers(116 points),ANGE1 bondik woxic DeadFox ISSAA
"CS:GO World ranking on August 27th, 2018",#17,Cloud9(114 points),STYKO Skadoodle RUSH autimatic Golden
"CS:GO World ranking on August 27th, 2018",#18,Gambit(111 points),AdreN Dosia mou Hobbit mir
"CS:GO World ranking on August 27th, 2018",#19,Virtus.pro(106 points),NEO pashaBiceps byali MICHU snatchie
"CS:GO World ranking on August 27th, 2018",#20,OpTic(102 points),Snappi cajunb JUGi gade k0nfig
"CS:GO World ranking on August 27th, 2018",#21,Kinguin(85 points),TaZ MINISE rallen reatz mouz
"CS:GO World ranking on August 27th, 2018",#22,Rogue(83 points),Hiko cadiaN Rickeh SicK vice
"CS:GO World ranking on August 27th, 2018",#23,AGO(83 points),SZPERO Furlan GruBy TOAO phr
"CS:GO World ranking on August 27th, 2018",#24,AVANGAR(81 points),fitch buster KrizzeN Qikert Jame
"CS:GO World ranking on August 27th, 2018",#25,Luminosity(78 points),steel HEN1 LUCAS1 NEKIZ yel
"CS:GO World ranking on August 27th, 2018",#26,Complexity(77 points),ShahZaM dephh stanislaw yay ANDROID
"CS:GO World ranking on August 27th, 2018",#27,Imperial(76 points),nexa hAdji pounh EspiranTo nukkye
"CS:GO World ranking on August 27th, 2018",#28,Space Soldiers(73 points),MAJ3R XANTARES Calyx paz ngiN
"CS:GO World ranking on August 27th, 2018",#29,Fragsters(71 points),Bubzkji refrezh dragonfly torben stavn
"CS:GO World ranking on August 27th, 2018",#30,eUnited(70 points),Relyks dazzLe dapr moose Ace
"CS:GO World ranking on July 30th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on July 30th, 2018",#2,Natus Vincere(774 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on July 30th, 2018",#3,FaZe(550 points),karrigan olofmeister GuardiaN NiKo rain
"CS:GO World ranking on July 30th, 2018",#4,Liquid(503 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on July 30th, 2018",#5,MOUZ(388 points),oskar Snax chrisJ suNny ropz
"CS:GO World ranking on July 30th, 2018",#6,BIG(277 points),gob b tabseN tiziaN nex smooya
"CS:GO World ranking on July 30th, 2018",#7,MIBR(267 points),FalleN tarik fer Stewie2K coldzera
"CS:GO World ranking on July 30th, 2018",#8,fnatic(253 points),Xizt flusha JW KRIMZ draken
"CS:GO World ranking on July 30th, 2018",#9,NRG(195 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on July 30th, 2018",#10,North(170 points),MSL aizy Kjaerbye valde
"CS:GO World ranking on July 30th, 2018",#11,G2(156 points),shox Ex6TenZ kennyS SmithZz bodyy
"CS:GO World ranking on July 30th, 2018",#12,TYLOO(149 points),captainMo DD BnTeT somebody xccurate
"CS:GO World ranking on July 30th, 2018",#13,ENCE(149 points),allu Aerial xseveN Aleksib sergej
"CS:GO World ranking on July 30th, 2018",#14,NIP(137 points),f0rest GeT_RiGhT dennis Lekr0 REZ
"CS:GO World ranking on July 30th, 2018",#15,OpTic(134 points),Snappi cajunb JUGi gade k0nfig
"CS:GO World ranking on July 30th, 2018",#16,Renegades(128 points),jks AZR jkaem USTILO Nifty
"CS:GO World ranking on July 30th, 2018",#17,HellRaisers(116 points),ANGE1 bondik woxic DeadFox ISSAA
"CS:GO World ranking on July 30th, 2018",#18,Cloud9(109 points),STYKO Skadoodle RUSH autimatic Golden
"CS:GO World ranking on July 30th, 2018",#19,Space Soldiers(93 points),MAJ3R XANTARES Calyx paz ngiN
"CS:GO World ranking on July 30th, 2018",#20,Gambit(91 points),AdreN Dosia mou Hobbit mir
"CS:GO World ranking on July 30th, 2018",#21,Virtus.pro(85 points),NEO pashaBiceps byali MICHU morelz
"CS:GO World ranking on July 30th, 2018",#22,Heroic(78 points),MODDII friberg AcilioN es3tag niko
"CS:GO World ranking on July 30th, 2018",#23,Imperial(78 points),nexa pounh EspiranTo nukkye
"CS:GO World ranking on July 30th, 2018",#24,Complexity(76 points),ShahZaM dephh stanislaw yay ANDROID
"CS:GO World ranking on July 30th, 2018",#25,Kinguin(72 points),TaZ MINISE rallen reatz mouz
"CS:GO World ranking on July 30th, 2018",#26,LeftOut(71 points),SIXER kioShiMa ScreaM xms hAdji
"CS:GO World ranking on July 30th, 2018",#27,AGO(70 points),Furlan GruBy snatchie TOAO phr
"CS:GO World ranking on July 30th, 2018",#28,Red Reserve(64 points),twist disco doplan freddieb hampus Brollan
"CS:GO World ranking on July 30th, 2018",#29,Rogue(59 points),Hiko cadiaN Rickeh SicK vice
"CS:GO World ranking on July 30th, 2018",#30,Sprout(59 points),PERCY Spiidi denis NaToSaphiX sycrone
"CS:GO World ranking on June 25th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on June 25th, 2018",#2,FaZe(721 points),karrigan GuardiaN NiKo rain cromen
"CS:GO World ranking on June 25th, 2018",#3,Natus Vincere(627 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on June 25th, 2018",#4,MOUZ(522 points),oskar chrisJ suNny STYKO ropz
"CS:GO World ranking on June 25th, 2018",#5,Liquid(500 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on June 25th, 2018",#6,MIBR(380 points),FalleN fer boltz Stewie2K coldzera
"CS:GO World ranking on June 25th, 2018",#7,NRG(259 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on June 25th, 2018",#8,North(233 points),MSL aizy Kjaerbye valde mertz
"CS:GO World ranking on June 25th, 2018",#9,fnatic(227 points),Xizt flusha JW KRIMZ draken
"CS:GO World ranking on June 25th, 2018",#10,Cloud9(220 points),Skadoodle RUSH tarik autimatic
"CS:GO World ranking on June 25th, 2018",#11,TYLOO(175 points),DD BnTeT somebody xccurate AE
"CS:GO World ranking on June 25th, 2018",#12,Renegades(172 points),jks AZR jkaem USTILO Nifty
"CS:GO World ranking on June 25th, 2018",#13,NIP(171 points),f0rest GeT_RiGhT dennis Lekr0 REZ
"CS:GO World ranking on June 25th, 2018",#14,Gambit(163 points),AdreN Dosia mou Hobbit mir
"CS:GO World ranking on June 25th, 2018",#15,Virtus.pro(155 points),NEO pashaBiceps Snax byali MICHU
"CS:GO World ranking on June 25th, 2018",#16,HellRaisers(145 points),ANGE1 bondik woxic DeadFox ISSAA
"CS:GO World ranking on June 25th, 2018",#17,AGO(129 points),Furlan GruBy snatchie TOAO phr
"CS:GO World ranking on June 25th, 2018",#18,Space Soldiers(117 points),MAJ3R XANTARES Calyx paz ngiN
"CS:GO World ranking on June 25th, 2018",#19,OpTic(109 points),Snappi cajunb JUGi gade k0nfig
"CS:GO World ranking on June 25th, 2018",#20,G2(100 points),shox Ex6TenZ kennyS SmithZz bodyy
"CS:GO World ranking on June 25th, 2018",#21,Heroic(100 points),MODDII RUBINO friberg es3tag niko
"CS:GO World ranking on June 25th, 2018",#22,Red Reserve(100 points),twist disco doplan freddieb hampus Brollan
"CS:GO World ranking on June 25th, 2018",#23,AVANGAR(87 points),buster KrizzeN Qikert Jame dimasick
"CS:GO World ranking on June 25th, 2018",#24,LeftOut(80 points),SIXER kioShiMa ScreaM xms hAdji
"CS:GO World ranking on June 25th, 2018",#25,BIG(77 points),gob b tabseN tiziaN nex smooya
"CS:GO World ranking on June 25th, 2018",#26,Imperial(76 points),TENZKI kRYSTAL nexa EspiranTo nukkye
"CS:GO World ranking on June 25th, 2018",#27,Grayhound(59 points),dexter Gratisfaction erkaSt malta DickStacy
"CS:GO World ranking on June 25th, 2018",#28,Windigo(58 points),pNshr bubble v1c7oR SHiPZ
"CS:GO World ranking on June 25th, 2018",#29,Rogue(54 points),Hiko cadiaN Rickeh SicK vice
"CS:GO World ranking on June 25th, 2018",#30,Kinguin(53 points),TaZ MINISE rallen reatz mouz
"CS:GO World ranking on May 28th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on May 28th, 2018",#2,FaZe(703 points),karrigan olofmeister GuardiaN NiKo rain
"CS:GO World ranking on May 28th, 2018",#3,Natus Vincere(518 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on May 28th, 2018",#4,MOUZ(478 points),oskar chrisJ suNny STYKO ropz
"CS:GO World ranking on May 28th, 2018",#5,fnatic(394 points),Xizt flusha JW KRIMZ Golden
"CS:GO World ranking on May 28th, 2018",#6,Liquid(383 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on May 28th, 2018",#7,SK(336 points),FalleN fer boltz Stewie2K coldzera
"CS:GO World ranking on May 28th, 2018",#8,Cloud9(331 points),FNS Skadoodle RUSH tarik autimatic
"CS:GO World ranking on May 28th, 2018",#9,NIP(267 points),f0rest GeT_RiGhT dennis draken REZ
"CS:GO World ranking on May 28th, 2018",#10,Gambit(198 points),AdreN Dosia mou Hobbit mir
"CS:GO World ranking on May 28th, 2018",#11,North(184 points),MSL aizy Kjaerbye valde mertz
"CS:GO World ranking on May 28th, 2018",#12,Renegades(183 points),jks AZR jkaem USTILO Nifty
"CS:GO World ranking on May 28th, 2018",#13,TYLOO(175 points),captainMo DD BnTeT somebody xccurate
"CS:GO World ranking on May 28th, 2018",#14,G2(166 points),kennyS NBK- apEX bodyy
"CS:GO World ranking on May 28th, 2018",#15,HellRaisers(160 points),ANGE1 bondik woxic DeadFox ISSAA
"CS:GO World ranking on May 28th, 2018",#16,GODSENT(128 points),twist disco doplan freddieb hampus Brollan
"CS:GO World ranking on May 28th, 2018",#17,Heroic(118 points),MODDII RUBINO friberg es3tag niko
"CS:GO World ranking on May 28th, 2018",#18,Space Soldiers(108 points),MAJ3R XANTARES Calyx paz ngiN
"CS:GO World ranking on May 28th, 2018",#19,AGO(102 points),Furlan GruBy snatchie TOAO phr
"CS:GO World ranking on May 28th, 2018",#20,Virtus.pro(101 points),NEO pashaBiceps Snax byali MICHU
"CS:GO World ranking on May 28th, 2018",#21,NRG(91 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on May 28th, 2018",#22,OpTic(88 points),Snappi cajunb JUGi gade k0nfig
"CS:GO World ranking on May 28th, 2018",#23,Envy(82 points),kioShiMa RpK ScreaM Happy hAdji
"CS:GO World ranking on May 28th, 2018",#24,AVANGAR(76 points),buster KrizzeN Qikert Jame dimasick
"CS:GO World ranking on May 28th, 2018",#25,Fragsters(69 points),Bubzkji refrezh dragonfly torben stavn
"CS:GO World ranking on May 28th, 2018",#26,Grayhound(65 points),dexter Gratisfaction erkaSt malta DickStacy
"CS:GO World ranking on May 28th, 2018",#27,BIG(62 points),gob b tabseN tiziaN nex smooya
"CS:GO World ranking on May 28th, 2018",#28,MVP PK(61 points),solo glow zeff XigN HSK
"CS:GO World ranking on May 28th, 2018",#29,Windigo(55 points),pNshr bubble v1c7oR SPELLAN SHiPZ
"CS:GO World ranking on May 28th, 2018",#30,eUnited(49 points),Relyks dazzLe dapr moose Ace
"CS:GO World ranking on April 30th, 2018",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on April 30th, 2018",#2,Natus Vincere(747 points),Edward Zeus flamie s1mple electronic
"CS:GO World ranking on April 30th, 2018",#3,fnatic(709 points),flusha JW KRIMZ Lekr0 Golden
"CS:GO World ranking on April 30th, 2018",#4,FaZe(697 points),karrigan Xizt GuardiaN NiKo rain
"CS:GO World ranking on April 30th, 2018",#5,MOUZ(674 points),oskar chrisJ suNny STYKO ropz
"CS:GO World ranking on April 30th, 2018",#6,Cloud9(508 points),FNS Skadoodle RUSH tarik autimatic
"CS:GO World ranking on April 30th, 2018",#7,SK(427 points),FalleN fer boltz Stewie2K coldzera
"CS:GO World ranking on April 30th, 2018",#8,NIP(418 points),f0rest GeT_RiGhT dennis draken REZ
"CS:GO World ranking on April 30th, 2018",#9,Liquid(399 points),nitr0 NAF EliGE TACO Twistzz
"CS:GO World ranking on April 30th, 2018",#10,Gambit(342 points),AdreN Dosia mou seized Hobbit
"CS:GO World ranking on April 30th, 2018",#11,G2(255 points),kennyS NBK- apEX mixwell bodyy
"CS:GO World ranking on April 30th, 2018",#12,North(225 points),MSL aizy Kjaerbye valde mertz
"CS:GO World ranking on April 30th, 2018",#13,Virtus.pro(207 points),NEO pashaBiceps Snax byali MICHU
"CS:GO World ranking on April 30th, 2018",#14,Space Soldiers(204 points),MAJ3R XANTARES Calyx paz ngiN
"CS:GO World ranking on April 30th, 2018",#15,HellRaisers(195 points),ANGE1 bondik woxic DeadFox ISSAA
"CS:GO World ranking on April 30th, 2018",#16,Renegades(192 points),jks AZR jkaem USTILO Nifty
"CS:GO World ranking on April 30th, 2018",#17,GODSENT(158 points),twist disco doplan freddieb hampus Brollan
"CS:GO World ranking on April 30th, 2018",#18,NRG(154 points),daps FugLy Brehze Ethan CeRq
"CS:GO World ranking on April 30th, 2018",#19,Heroic(135 points),MODDII RUBINO es3tag niko
"CS:GO World ranking on April 30th, 2018",#20,AGO(116 points),Furlan GruBy snatchie TOAO phr
"CS:GO World ranking on April 30th, 2018",#21,Imperial(108 points),TENZKI AcilioN nexa EspiranTo nukkye
"CS:GO World ranking on April 30th, 2018",#22,TYLOO(106 points),captainMo DD BnTeT somebody xccurate
"CS:GO World ranking on April 30th, 2018",#23,Envy(105 points),kioShiMa RpK ScreaM Happy hAdji
"CS:GO World ranking on April 30th, 2018",#24,Fragsters(87 points),Bubzkji refrezh dragonfly torben stavn
"CS:GO World ranking on April 30th, 2018",#25,Windigo(86 points),pNshr bubble v1c7oR SPELLAN SHiPZ
"CS:GO World ranking on April 30th, 2018",#26,Valiance(81 points),NENO emi huNter- LETN1 Impulse
"CS:GO World ranking on April 30th, 2018",#27,MVP PK(79 points),solo glow zeff XigN HSK
